Event,key,Ontology
BraintreeTxnDatalakeTable,merchant_fk,
BraintreeTxnDatalakeTable,cc_bin,
BraintreeTxnDatalakeTable,phone,
BraintreeTxnDatalakeTable,email,
BraintreeTxnDatalakeTable,own_email_or_phone_pp_acct,
BraintreeTxnDatalakeTable,domain,
BraintreeTxnDatalakeTable,cc_info,
BraintreeTxnDatalakeTable,cc_bin_last_exp_zip,
BraintreeTxnDatalakeTable,cc_bin_country_of_issuance,
BraintreeTxnDatalakeTable,merch_business_mcc,
BraintreeTxnDatalakeTable,bill_country,
BraintreeTxnDatalakeTable,ship_country,
PaymentAttemptVO,counterparty,
PaymentAttemptVO,binhmac_receiver,
BraintreeTxnDatalakeTable,customer_fk_merchant_fk,
WithdrawalCheckpointResult,AccountNumber,
PaymentAttemptNewDO,last_cc_hash,
PaymentAttemptNewDO,last_bin_hmac,
PaymentAttemptNewDO,counterparty,
PaymentAttemptNewDO,binhmac_receiver,
PaymentAttemptNewDO,machineID,
VenmoAddFI,ipLong,
VenmoRemoveFI,iplong,
Refund,sender_receiver,
MUSE_EDGE,decr_account_number,
MUSE_EDGE,ip,
MUSE_EDGE,fpti,
MUSE_EDGE,vid,
RiskWithdrawalAttemptDecision,vid,
RiskWithdrawalAttemptDecision,last_added_email,
RiskWithdrawalAttemptDecision,last_added_phone,
RiskWithdrawalAttemptDecision,cc_number_hash,
RiskWithdrawalAttemptDecision,cc_bin,
RiskWithdrawalAttemptDecision,bank_acct-bank_routing,
RiskWithdrawalAttemptDecision,customer_primary_residence,
